#weight  minuslogpost      logA        n_s     omega_b  omega_cdm  theta_s_1e2    tau_reio           A_s       H0  minuslogprior  minuslogprior__0       chi2  chi2__my_cl_like
13 -19050.058 3.0516643 0.96431688 0.022417758 0.12064957 1.0409645 0.052633656 2.1150517e-09 66.88358 -3.5494364 -3.5494364 -38093.017 -38093.017
 2 -19048.868 3.0511776 0.95897455 0.022099724 0.12270623 1.0406979 0.050732466 2.1140225e-09 65.79452 -3.5494364 -3.5494364 -38090.638 -38090.638
 3 -19049.594 3.0527684 0.95981035 0.022117619 0.12253069 1.0407346 0.051665132 2.1173882e-09 65.88304 -3.5494364 -3.5494364 -38092.089 -38092.089
 2 -19050.106 3.0512424 0.96113343 0.022161194 0.12220782 1.0407727 0.051255404 2.1141593e-09 66.04612 -3.5494364 -3.5494364 -38093.114 -38093.114
 1 -19048.831 3.0745703 0.96533786 0.022314438 0.12145234 1.0412748 0.062848661  2.164058e-09 66.61309 -3.5494364 -3.5494364 -38090.564 -38090.564
10 -19048.369 3.0086059 0.96367175 0.022468553 0.11958494 1.0410214 0.030555062 2.0259137e-09 67.32376 -3.5494364 -3.5494364 -38089.639 -38089.639
 1  -19048.42 3.0075359  0.9635365 0.022465067 0.11965105 1.0410228 0.029935481 2.0237472e-09 67.29763 -3.5494364 -3.5494364 -38089.741 -38089.741
 7 -19048.851 3.0206304 0.96529772 0.022526399 0.11946312  1.041463 0.036601005 2.0504213e-09 67.56718 -3.5494364 -3.5494364 -38090.604 -38090.604
16 -19051.788 3.0361632 0.96498983 0.022533843 0.11890789 1.0417466 0.045529441 2.0825188e-09 67.86673 -3.5494364 -3.5494364 -38096.476 -38096.476
19 -19051.786 3.0415629 0.96479217 0.022542221 0.11901888 1.0416725 0.048073283 2.0937941e-09 67.80988 -3.5494364 -3.5494364 -38096.473 -38096.473
 3 -19050.662 3.0480378 0.95939633 0.022382584 0.12043898 1.0410284 0.048961647 2.1073953e-09 66.94685 -3.5494364 -3.5494364 -38094.225 -38094.225
 7 -19050.018 3.0481836 0.95783376 0.022297328 0.12066257 1.0408032 0.049165863 2.1077026e-09 66.71621 -3.5494364 -3.5494364 -38092.938 -38092.938
 3  -19050.02  3.028372  0.9568951 0.022308162 0.12068336 1.0415025 0.038407447 2.0663564e-09  66.9517 -3.5494364 -3.5494364  -38092.94  -38092.94
 6 -19050.443 3.0054612 0.95687749 0.022397479 0.12125656 1.0412818 0.026373025 2.0195528e-09  66.7589 -3.5494364 -3.5494364 -38093.787 -38093.787
10 -19050.347 3.0029156 0.95644112  0.02238311 0.12147411 1.0412374 0.024817877 2.0144183e-09 66.65537 -3.5494364 -3.5494364 -38093.596 -38093.596
17 -19050.164  3.001053 0.95600902 0.022349095 0.12209749 1.0412399 0.022939169 2.0106698e-09 66.40942 -3.5494364 -3.5494364 -38093.229 -38093.229
 8 -19049.319 2.9907679 0.95783476 0.022374296 0.12052706  1.041152 0.019648302 1.9900959e-09 66.94962 -3.5494364 -3.5494364 -38091.539 -38091.539
 3 -19049.654 3.0011241 0.95763611 0.022347381 0.12122907 1.0410463 0.024102911 2.0108129e-09  66.6446 -3.5494364 -3.5494364  -38092.21  -38092.21
 2 -19049.589 3.0010485 0.95778935 0.022349682 0.12121599 1.0410443 0.024080962 2.0106608e-09 66.65057 -3.5494364 -3.5494364 -38092.078 -38092.078
 6 -19049.479 2.9985833 0.95692368 0.022320647 0.12150449 1.0409639 0.022534015 2.0057102e-09 66.49718 -3.5494364 -3.5494364 -38091.858 -38091.858
 2 -19048.295 2.9994996  0.9570736 0.022358602  0.1215999 1.0409733 0.022623957 2.0075489e-09 66.50157 -3.5494364 -3.5494364 -38089.491 -38089.491
 2  -19049.61 3.0295566  0.9603944 0.022532706  0.1198152 1.0413465 0.039918241 2.0688057e-09 67.40919 -3.5494364 -3.5494364  -38092.12  -38092.12
 4 -19048.948 3.0220734 0.96205748 0.022590223 0.11869532 1.0419516 0.037372071 2.0533822e-09  68.0629 -3.5494364 -3.5494364 -38090.797 -38090.797
 1 -19047.913 3.0235715  0.9652822 0.022628406  0.1171886 1.0420047   0.0406407 2.0564608e-09 68.65959 -3.5494364 -3.5494364 -38088.726 -38088.726
 8 -19047.872 3.0288211 0.96588634 0.022650812  0.1168529 1.0420024 0.043529968 2.0672846e-09 68.80164 -3.5494364 -3.5494364 -38088.644 -38088.644
12  -19047.85 3.0292462 0.96590089 0.022654299 0.11685089 1.0420098 0.043736518 2.0681637e-09 68.80804 -3.5494364 -3.5494364 -38088.602 -38088.602
 8 -19045.712 3.0168201 0.96482421 0.022608251 0.11665826 1.0418359  0.03794169 2.0426235e-09   68.778 -3.5494364 -3.5494364 -38084.326 -38084.326
 1 -19045.161 3.0170859 0.96442628 0.022591557  0.1165389  1.041728 0.038130529 2.0431665e-09 68.77021 -3.5494364 -3.5494364 -38083.224 -38083.224
 3 -19045.148 2.9996412 0.97007091 0.022696049 0.11523358 1.0419412 0.030491039 2.0078331e-09 69.41908 -3.5494364 -3.5494364 -38083.197 -38083.197
 1 -19047.638 3.0146355 0.96706469 0.022608495 0.11646177 1.0415052 0.036801835  2.038166e-09 68.73881 -3.5494364 -3.5494364 -38088.177 -38088.177
 2 -19047.868 3.0147296 0.96677052 0.022601722 0.11657713 1.0415229 0.036708342 2.0383579e-09 68.69635 -3.5494364 -3.5494364 -38088.637 -38088.637
 7 -19047.209  2.971968 0.97130662 0.022426368 0.11653877 1.0411885 0.017424072 1.9530317e-09 68.43906 -3.5494364 -3.5494364 -38087.318 -38087.318
14 -19048.526 3.0379834 0.97010264 0.022419671 0.11965335 1.0417813 0.048294577 2.0863128e-09 67.50919 -3.5494364 -3.5494364 -38089.952 -38089.952
 1 -19049.023 3.0476496 0.97056992 0.022374608 0.11930728 1.0415001 0.053676757 2.1065773e-09 67.49714 -3.5494364 -3.5494364 -38090.948 -38090.948
 7 -19049.043 3.0359551 0.97056353  0.02223323 0.11999759 1.0415725   0.0470407 2.0820854e-09 67.14843 -3.5494364 -3.5494364 -38090.987 -38090.987
 7 -19049.105 3.0339137 0.97048244 0.022232845  0.1199161 1.0415459 0.046148912 2.0778394e-09 67.16802 -3.5494364 -3.5494364 -38091.111 -38091.111
 3 -19050.884 3.0564391 0.96966268 0.022350787 0.11894977 1.0419257 0.057667153 2.1251746e-09 67.74538 -3.5494364 -3.5494364  -38094.67  -38094.67
23 -19051.676 3.0580731 0.96851471 0.022325364  0.1195109 1.0418928  0.05752718 2.1286501e-09 67.51137 -3.5494364 -3.5494364 -38096.253 -38096.253
13 -19051.307 3.0575883 0.96649044 0.022269429 0.11986917 1.0418006 0.056967023 2.1276184e-09 67.30276 -3.5494364 -3.5494364 -38095.515 -38095.515
 3 -19050.573 3.0423695 0.96629833 0.022275997 0.11867581 1.0411513 0.050660069 2.0954836e-09 67.51657 -3.5494364 -3.5494364 -38094.048 -38094.048
16 -19050.506 3.0477108 0.96580936 0.022218967 0.11905323 1.0409453 0.052919124 2.1067062e-09  67.2614 -3.5494364 -3.5494364 -38093.913 -38093.913
 3 -19049.663 3.0520542 0.96503079 0.022191803 0.11908943 1.0408655 0.055072215 2.1158765e-09 67.19735 -3.5494364 -3.5494364 -38092.226 -38092.226
15  -19049.11 3.0884936 0.96631819 0.022158507 0.11998861 1.0407599 0.072719239 2.1943996e-09 66.81332 -3.5494364 -3.5494364  -38091.12  -38091.12
 5 -19048.804 3.0841907 0.96489372 0.022106816  0.1202588 1.0407277 0.070348147 2.1849776e-09 66.66079 -3.5494364 -3.5494364 -38090.509 -38090.509
 5 -19049.058 3.0900801 0.96563464 0.022098324 0.12019382 1.0407936 0.073361844 2.1978838e-09 66.69793 -3.5494364 -3.5494364 -38091.018 -38091.018
 2 -19050.026 3.0954743  0.9687957 0.022175981 0.11915508 1.0411298 0.077368057 2.2097716e-09 67.24784 -3.5494364 -3.5494364 -38092.954 -38092.954
 5 -19048.948 3.0948755 0.96578091 0.022291413 0.12025465 1.0418853 0.075561372  2.208449e-09 67.21488 -3.5494364 -3.5494364 -38090.796 -38090.796
 5 -19049.218 3.0922461 0.96608501 0.022292072 0.12006896 1.0418172 0.074507845 2.2026496e-09 67.25825 -3.5494364 -3.5494364 -38091.337 -38091.337
 7 -19048.906 3.0927636 0.96580014 0.022282976 0.12012183 1.0418095 0.074725916 2.2037898e-09 67.22876 -3.5494364 -3.5494364 -38090.714 -38090.714
15 -19048.412 3.0864105 0.96683104 0.022298924 0.11984929 1.0418695 0.072050386 2.1898332e-09 67.35957 -3.5494364 -3.5494364 -38089.726 -38089.726
 1 -19049.682 3.0380205 0.96674754 0.022263215 0.11996837 1.0417256 0.047599523 2.0863903e-09 67.23703 -3.5494364 -3.5494364 -38092.265 -38092.265
10 -19050.104 3.0425924 0.96647563 0.022253208 0.12020326 1.0419359 0.049264369 2.0959509e-09  67.2152 -3.5494364 -3.5494364 -38093.109 -38093.109
18 -19050.286 3.0415018 0.96614279 0.022241447 0.12036671 1.0419003 0.048515021 2.0936662e-09 67.13506 -3.5494364 -3.5494364 -38093.472 -38093.472
 2 -19050.007  3.054061 0.96363436 0.022204573 0.12098351 1.0416955 0.054053972 2.1201267e-09 66.81697 -3.5494364 -3.5494364 -38092.916 -38092.916
 8 -19049.538 3.0434078 0.96515129 0.022352502 0.12019683 1.0417058 0.049773302 2.0976605e-09 67.23081 -3.5494364 -3.5494364 -38091.978 -38091.978
 1 -19050.269 3.0531017 0.95496733 0.022181213 0.12466068 1.0416464 0.047154825 2.1180939e-09 65.51837 -3.5494364 -3.5494364  -38093.44  -38093.44
16 -19046.166 3.0731099 0.95916292  0.02219933 0.12419224 1.0418688 0.057412031    2.1609e-09 65.76645 -3.5494364 -3.5494364 -38085.233 -38085.233
 5 -19049.057 3.0536455 0.95242431 0.021969531 0.12531633 1.0413991 0.046757602 2.1192461e-09 65.02505 -3.5494364 -3.5494364 -38091.014 -38091.014
20 -19049.184 3.0562506  0.9542538 0.022060367  0.1245803 1.0418106 0.048332059 2.1247741e-09 65.49017 -3.5494364 -3.5494364 -38091.269 -38091.269
 8  -19048.69 3.0544683 0.95341964 0.022039834 0.12492217 1.0417898 0.046947859 2.1209905e-09 65.34971 -3.5494364 -3.5494364 -38090.282 -38090.282
 2 -19048.354 3.0526304 0.95279084 0.022007874 0.12503046 1.0417593 0.046005182 2.1170959e-09 65.27435 -3.5494364 -3.5494364  -38089.61  -38089.61
 2 -19047.174 3.0409523  0.9521059 0.022038061 0.12491144 1.0418909 0.040347368  2.092516e-09 65.38513 -3.5494364 -3.5494364 -38087.249 -38087.249
 1 -19048.499  2.992906 0.95319296 0.021957222 0.12588339 1.0411711 0.015165816 1.9943553e-09 64.74987 -3.5494364 -3.5494364 -38089.899 -38089.899
11 -19048.266 2.9921096 0.95242695  0.02192805 0.12609995 1.0412221 0.014387136 1.9927678e-09  64.6684 -3.5494364 -3.5494364 -38089.433 -38089.433
